Nß lote;T°tulo;Autor;Editorial;A§o;P£blico;Idioma;P†ginas;Resumen_navarra;genero_fix;IA_Tags;Geografia_Autor;Genero_Principal_IA;Subgeneros_Limpios_IA
202C;Historia de los bonobos con gafas;Tur°n, Adela;Kalandraka;2013;Infantil - 6 a§os;Castellano;34;"""Ellos com°an, viajaban y se modernizaban mientras ellas recolectaban comida y criaban a la prole. Pero los bonobos no aceptaban que las bonobas tambiÇn pudiesen aprender y evolucionar.""";femenino;literatura infantil, igualdad de gÇnero, f†bula, roles sociales, cr°tica social;Europa, Italia;Infantil;Feminismo/LGTBIQ+, Social/Pol°tico
203C;Elo°sa y los bichos;Buitrago, Jairo;Jinete azul;2012;Infantil - 6 a§os;Castellano;32;"®QuÇ se siente al ser un bicho raro? Todos te miran al pasar, en la calle, en la clase, en el recreo... Elo°sa y los bichos es una bella reflexi¢n sobre las cosas nuevas, sobre todo aquello que nos es desconocido. Habla de miedos, y de aprendizajes; de extra§ezas, pero tambiÇn de costumbres; de rechazo, pero tambiÇn de amistad.";masculino;literatura infantil, migraci¢n, identidad, adaptaci¢n, libro †lbum;AmÇrica, Colombia;Infantil;µlbum Ilustrado, Gesti¢n Emocional/Valores, Diversidad/Inclusi¢n
204C;El azul es un color c†lido;Maroh, Julie;Dibbuks;2011;Juvenil;Castellano;156;Clementine es una adolescente sin problemas. Llega del campo para integrarse en un instituto en el que se siente a gusto. Un d°a se cruza en la calle con una pareja de chicas. Una lleva el pelo te§ido de azul, y le sonr°e, mientras Clementine baja la vista. A partir de este preciso momento todo va a cambiar para ella: su relaci¢n con sus nuevos amigos, su sitio en la familia, sus prioridades? y sobre todo su sexualidad. Es dif°cil saber quÇ aspecto tiene el amor. A veces duele y siempre hay obst†culos en el camino. Pero un calor inabarcable se instala en el estomago, que te hace vibrar y te empuja a superarte. Estamos delante de una obra que describe con mucha delicadeza lo cotidiano de una joven mujer mediante la lectura de sus diarios. La ilustraci¢n de Julie Maroh permite identificarse con sus protagonistas sin apenas darnos cuenta. El trazo de la autora propone unas perspectivas, unas posturas tan inesperadas como la vida misma. Clementine y Emma intentan amarse a pesar de las dificultades que supone la visi¢n de la homosexualidad por parte de la sociedad actual y los propios prejuicios de Clementine. Pero descubrimos una historia de amor que, a pesar de ser tr†gica, podr°a ser la de cualquiera, y sin diluir su intensidad en una profusi¢n de reivindicaciones sociales. Aprender, crecer, amar. Eso es lo que nos ense§a este emotivo y absorbente slice-of-life, adentr†ndonos en lo m†s personal y lo m†s intimo de dos j¢venes valientes. Acompa§ado de una exposici¢n de originales en Bruselas, de una venta de m†s de 7.000 ejemplares en francÇs (reimpreso despuÇs de un mes) y del Premio otorgado en 2011 por el P£blico en el mayor festival de c¢mic de Europa, el Festival de Angoulàme en Francia, llega la novela gr†fica m†s sensible y sincera que hemos podido leer en mucho tiempo? TambiÇn est† premiada con el Premio Autor Novel en el Sal¢n del C¢mic y de las Artes gr†ficas de Roubaix (Francia) y el Premio del Consejo Regional del Festival de Blois (Francia), por su contenido ciudadano, ambos en el a§o 2010.;no binaridad;novela gr†fica, identidad sexual, adolescencia, Francia, slice-of-life;Europa, Francia;C¢mic;Juvenil, Feminismo/LGTBIQ+, Psicol¢gico/÷ntimo
205C;La casa;Innocenti, Roberto;Kalandraka;2010;Infantil - 8 a§os;Castellano;30;Un libro fascinante cuyas ilustraciones se pueden leer una y otra vez. Un £nico plano que nos permite observar la evoluci¢n de la casa durante todo el siglo, que nos muestra en unas pocas p†ginas los cambios ocurridos en el mundo occidental desde 1900.;masculino;†lbum ilustrado, siglo XX, historia visual, transformaci¢n social, realismo;Europa, Occidente;Infantil;µlbum Ilustrado, Educaci¢n/Divulgaci¢n
209C;Mendi-Joak;Epaltza, Aingeru;Elkar;2017;Adulto;Euskera;268;"Mendiak baizik ez ditu bizi, asteburua noiz ailegatuko beti, betizuak larrera bezala ateratzeko: hora zer diren mendi-joak. Inguruko gailurrak etxeko gelak bezain ezagunak eta korritua dituzte; Pirinioetara joan ohi dira ia aste birik behin; eta oporrak iristen diren aldiro plan handiago eta urrunagokoak egiten dituzte: Kilimanjarora igotzea, trekkinga Saharan, zeharkaldia Kaukason? Mendi giroko ipuinak idatzi ditu oraingoan Aingeru Epaltzak, baina atrezzoa besterik ez dira makilak eta kranpoiak, pioletak eta polainak, motxilak eta botak. Dekoratu horren atzean, giza harreman §abar eta askotarikoak ageri dira: bikote-bizitza higatuak, familia maiz ozpinduak, beldur gauzatuak, poz geroratuak, ilusio zapuztuak, baita asetasun labur eta zorion-une ustekabekoak ere, egileak ohi duen begirada zorrotz-maltzurraz eta esku trebe-jostalariaz.";masculino;relatos, monta§a, relaciones humanas, euskera, Pirineos;Local;Narrativa;Relatos/Cuentos, Viajes/Naturaleza, Psicol¢gico/÷ntimo
195C;Harrotasuna eta aurrejuzguak;Austen, Jane;Elkar;2013;Adulto;Euskera;504;Jatorrizko lana argitaratu zenetik 200 urte betetzean eskaintzen diogu euskal publikoari ingeles literaturak eman duen lanik handienetako bat, maitasunezko istorio bat baino askoz gehiago dena eta, urteak igaro ahala, kultura guztietako irakurleak liluratzen jarraitzen duena.;femenino;novela de costumbres, traducci¢n, Inglaterra rural, siglo XIX, relaciones sociales;Europa, Reino Unido - Hertfordshire y Derbyshire;Narrativa;Cl†sicos, Social/Pol°tico
196C;Gerrak ez du emakume aurpegirik;Aleksievitx, Svetlana;Elkar;2017;Adulto;Euskera;286;Gerra imajinatzean, gizonezko soldaduak datozkigu berehala gogora, baina ia milioi bat izan ziren II. Mundu Gerran parte hartu zuten emakumen sobietarrak: mediku eta erizainak, frankotiratzaileak, tanke-gidariak, gerrillari partisanoak... Egunka lekukotasun bildu ditu egileak, haien oroitzapenak eta inpresioak biltzeko, ez kazetarien ohiko galde-erantzunekin, baizik eta konfiantza emanez, lasai hitz egin dezaten. Jasotako erretratuak antz gutxi du historiografia ofizialaren heroitasunarekin: hor ageri dira gosea, beldurra, hotza, zauriak eta oinazea... baina baita ere beste nesken elkartasuna, gizonezkoen laguntza edo gutxiespena, etsaienganako gorrotoa edo errukia... Bizitzaren eta heriotzaren arteko hari gainean dantzan, gizatasun sakon baten taupadak helarazten dizkigu, zirraraz eta dardaraz. 1984an argitaratu zen liburu hau lehenengoz, Gorbatxoven garaiko Perestroikaren irekidurari esker, baina hainbat zati zentsurak eta autozentsurak estali edo moldatu zituzten. 2002an berridatzi zuen Aleksievitxek bere lana, lehenago ezabatutako pasarteak sartuz, eta are nabarmenago geratu ziren horrela bai gerraren krudelkeria, bai hura nozitu zuten emakume guztien handitasuna.;femenino;testimonio femenino, Segunda Guerra Mundial, Uni¢n SoviÇtica, memoria oral, literatura documental;Europa, Uni¢n SoviÇtica;No Ficci¢n;Biogr†fico/Memorias, Conflictos BÇlicos/Historia, Social/Pol°tico
197C;Viajes con Charley : en busca de Estados Unidos;Steinbeck, John;N¢rdica ;2014;Adulto;Castellano;285;"ÆMi plan era claro, conciso y razonable, creo yo. He viajado por diversas partes del mundo durante muchos a§os. En Estados Unidos vivo en Nueva York, o me voy a Chicago o a San Francisco. Pero Nueva York no es m†s los Estados Unidos de lo que Par°s es Francia o Londres es Inglaterra. As° que descubr° que no conoc°a mi propio pa°s. Yo, un escritor estadounidense, que escrib°a sobre Estados Unidos, estaba trabajando de memoria, y la memoria es, en el mejor de los casos, un dep¢sito defectuoso y deformado. No hab°a o°do el habla del pa°s, ni olido la hierba ni los †rboles ni las alcantarillas, ni visto sus cerros ni sus aguas, ni su color ni la calidad de su luz. Sab°a de los cambios s¢lo por los libros y los peri¢dicos. Pero, aparte de eso, llevaba veinticinco a§os sin sentir el pa°s.Ø En 1960, Steinbeck, acompa§ado por su perro Charley, recorri¢ m†s de 16.000 kil¢metros a lo largo de treinta y cuatro estados a bordo de su autocaravana Rocinante. Durante el viaje convers¢ con camioneros y campesinos, sintiendo los miedos y las esperanzas de sus compatriotas. Este delicioso libro, que lleg¢ a ser N£mero Uno en ventas en su pa°s, fue publicado poco antes de recibir el Nobel en 1962. ÆPura delicia; un maravilloso viaje por Estados Unidos en el que Steinbeck estudia nuestros paisajes y tambiÇn a s° mismo, analizando las dificultades emocionales de hacerse viejo.Ø The New York Times Book Review";masculino;literatura de viajes, Estados Unidos siglo XX, cr¢nica, autoconocimiento, realismo social;AmÇrica, Estados Unidos - Recorrido nacional;No Ficci¢n;Viajes/Naturaleza, Biogr†fico/Memorias, Social/Pol°tico
198C;Cenizas;Ortiz, µlvaro;Astiberri;2012;Adulto;Castellano;187;"Tres amigos que no se ven desde hace a§os, discutiendo dentro de un coche, con un mont¢n de kil¢metros por delante hasta una misteriosa cruz marcada en un mapa: Çsa es la premisa de Cenizas, la obra m†s ambiciosa de µlvaro Ortiz.
Unas extra§as circunstancias propician ese reencuentro surrealista entre Polly, Moho y Piter, que deciden emprender un incierto viaje a un destino m†s incierto todav°a, durante el cual se ir†n revelando sus personalidades de alto calibre, a las que se unen secundarios de lo m†s folcl¢ricos.
Encuentros y desencuentros, persecuciones, moteles de carretera, matones barbudos que tocan el banjo, un cementerio de barcos, cerveza a discreci¢n, discusiones, resacas y cierta dosis de violencia y tensi¢n sensual...: una mezcla explosiva entre road movie emocional y thriller gamberro en el que nada es lo que parece.";masculino;novela gr†fica, road movie, thriller, amistad, viaje inici†tico;Europa, Espa§a;C¢mic;Novela Negra/Misterio, Aventuras, Psicol¢gico/÷ntimo
199C;Si te abrazo, no tengas miedo;Ervas, Fulvio;Seix Barral;2013;Adulto;Castellano;303;"Andrea es un adolescente autista: vive en un mundo lejano y paralelo; las palabras se le escapan y lucha constantemente por atraparlas. Durante a§os, Franco, su padre, lo lleva a todo tipo de terapias: tradicionales, espirituales, experimentales... Por ins¢lito que parezca, mediante el ordenador, Andrea es capaz de comunicarse con sus padres, y a travÇs de sus palabras se atisba el vendaval de sentimientos y sue§os que lleva dentro: ÆSoy un hombre prisionero de mis deseos de libertad. Andrea quiere curarse.Ø En este descubrimiento est† la clave que el padre necesita para dar un giro decisivo a sus vidas.
Un d°a de 2010, y en contra de todas las opiniones expertas, Franco parte con Andrea en un viaje incre°ble: recorrer†n en moto 38.000 km del continente americano, desde Miami hasta Porto Seguro, durante m†s de cuatro meses.
Esta novela es el relato de este viaje, tal y como se lo contaron durante un a§o los protagonistas al autor, Fulvio Ervas. Una aventura grandiosa, impredecible, como Andrea. Un conmovedor relato sobre el poder transformador de los viajes, los sue§os de una vida digna y la imparable fuerza del amor de un padre por su hijo.";masculino;autismo, viaje transcontinental, relaci¢n padre-hijo, novela testimonial, AmÇrica;AmÇrica, Estados Unidos - Miami / Brasil - Porto Seguro;Narrativa;Biogr†fico/Memorias, Viajes/Naturaleza, Psicol¢gico/÷ntimo
206C;La peque§a oruga glotona;Carle, Eric;Kokinos;2007;Infantil - 6 a§os;Castellano;22;La oruga era muy peque§a, pero ten°a un hambre enorme. As° que se pas¢ todo este cuento comiendo, atravesando p†gina tras p†gina. Hasta que finalmente se convirti¢, como todas las orugas, en mariposa. Un libro agujereado de verdad por la muy glotona.;masculino;literatura infantil, metamorfosis, †lbum ilustrado, aprendizaje temprano;AmÇrica, Estados Unidos;Infantil;µlbum Ilustrado, Novela de Aprendizaje (Bildungsroman)
207C;Jim Bot¢n y Lucas el maquinista;Ende, Michael;Noguer;2009;Infantil - 12 a§os;Castellano;290;"Imaginad, por ejemplo, la historia de una locomotora, llamada Emma, que puede navegar igual que un barco, o el misterio del gigante que vive en un desierto llamado ÆEl fin del mundoØ... Una apasionante historia llena de fantas°a y aventuras.
En Lummerland la vida era tranquila, hasta que un d°a, ≠quÇ raro!, llega un paquete misterioso. ®SabÇis quÇ contiene ese paquete? ≠Algo (o alguien) sorprendente, muy sorprendente! S°, y con esto, empieza nuestra historia... Imaginad, por ejemplo, la historia de una locomotora, llamada Emma, que puede navegar igual que un barco, o el misterio del gigante que vive en un desierto llamado ÆEl fin del mundoØ...";masculino;literatura infantil, fantas°a, aventuras, mundos imaginarios, narrativa alemana;Europa, Alemania - Isla ficticia de Lummerland;Infantil;Fantas°a, Aventuras
208C;Balou mendikateko balada;Lianke,;Elkar;2018;Adulto;Euskera;110;"Balou mendikateko herrixka galdu eta pobre batean, lau anai-arreba atzeratu daude familia batean, eta haien amak, You Sipok, eginahal guztiak egin beharko ditu, bai etxea aurrera ateratzeko, bai seme-alabentzako ezkongai egokiak topatzeko, horretarako biziekin eta hilekin borrokan ibili behar badu ere, herrikideen aurreiritziei nahiz naturaren legeei aurre eginez.
Mitoa eta errealismoa modu berezian uztartzen ditu Yan Liankek nobela honetan, mendialdeko bizitza zail eta gogorra kontatzeko ametsak, fantasia eta magia ere erabiliz, eguneroko bizitzaren azpian dautzan errealitate ikusezinak agerian jarriz. Gai gordinak hizkuntza eder baten bidez landuz eta kontakizunari erritmo doi eta egitura perfektua emanez.";masculino;realismo m†gico, discapacidad, vida rural, China contempor†nea, prejuicio social;Asia, China - Cordillera de Balou;Narrativa;Fantas°a, Social/Pol°tico, Psicol¢gico/÷ntimo
210C;Ararat mendiaren sumina;Kemal,;Alberdania;2003;Adulto;Euskera;135;Kemalen obra guztian agertzen diren ezaugarri gehienak biltzen dira. Ekialde Hurbileko ahozko tradizioak bildu ditu bere liburuetan, herriaren esperantzak eta miseriak. Tradizioaren zaporea duten testuak eratzen ditu, eta erdibidean dago Indiako epikotasun klasikoaren eta bidelapur zintzoei buruzko narrazio erromantikoen artean. Bizi-bizirik daude, elkarren kontrako lehian batzuetan, bizitzaren sentimendu eta errealitate funtsezkoenak: maitasuna, eginbeharra, heriotza, elkartasuna, duintasuna, ohorea. Kemalek hats mitikoko historia bat eskaintzen dio irakurleari, prosa aberats eta oparoaren bidez. Lirikotasun paregabea eransten dio Kemalek bere lanari, paisaien eta urtaroen deskripzioan batik bat. Bere hitzei, bestetik, giza duintasunaren zentzua eta balorazioa darizkie. Kemalek modu poetikoan defendatzen du beren lurraren izenean borrokatzen diren behartsuen kausa. Literatura ere baliatu du herri kurduaren defentsan.;masculino;narrativa Çpica, tradici¢n oral, realismo social, literatura kurda, defensa de los oprimidos;Asia, Turqu°a - Regi¢n del Ararat;Narrativa;Tradici¢n Oral/Leyendas, Social/Pol°tico
227C;En las ant°podas;Bryson, Bill;RBA;2018;Adulto;Castellano;317;Australia es el sexto pa°s m†s grande del mundo y la isla m†s extensa. Isla, pa°s, continente. Seco, †rido, yermo y clim†ticamente agresivo. Un pa°s donde el gusano m†s peludo mata con su venenoso pinchazo, donde las conchas marinas no s¢lo pican sino que se persiguen, donde un tibur¢n puede zamparte o unas irresistibles aguas arrastrarte mar adentro. Ignorando estas amenazas, Bill Bryson viaj¢ a Australia y se enamor¢ del pa°s. ®QuiÇn podr°a culparlo? La gente es alegre, ingeniosa y atenta, sus ciudades son seguras, limpias, casi siempre se sit£an cerca del agua, la cerveza est† fr°a y el sol brilla con frecuencia. La vida no puede ser mucho mejor que esto.;masculino;literatura de viajes, Australia, cr¢nica contempor†nea, fauna peligrosa, cultura australiana;Ocean°a, Australia;No Ficci¢n;Viajes/Naturaleza
229C;Tierra de mujeres: una mirada °ntima y familiar al mundo rural;S†nchez, Mar°a;Seix Barral;2019;Adulto;Castellano;185;Hija y nieta de veterinarios, la £ltima de varias generaciones vinculadas desde hace a§os a la tierra y a los animales, Mar°a S†nchez (C¢rdoba, 1989) es la primera mujer en su familia en dedicarse a un oficio desempe§ado tradicionalmente por hombres. Su d°a a d°a como veterinaria de campo pasa por recorrer Espa§a en una furgoneta y esquivar las miradas en un entorno predominantemente masculino como es el mundo rural. En este personal°simo ensayo, la escritora se propone servir de altavoz y dar espacio a todas las mujeres silenciadas en los campos espa§oles, a todas aquellas que tuvieron que renunciar a una educaci¢n y a una independencia para trabajar la tierra con las manos y cuidar de sus familias. A partir de historias familiares, de reflexiones sobre ciencia y literatura fruto de sus lecturas y de algunos de los conflictos que asolan al medio rural en Espa§a (la despoblaci¢n y el olvido de los pueblos, la explotaci¢n de los recursos naturales, el incumplimiento de pol°ticas ambientales o las condiciones laborales en el campo), Tierra de mujeres viene a llenar un hueco en el debate sobre feminismo y literatura rural. Busca, adem†s, ofrecer una visi¢n de la vida en campo realista, alejada de las postales buc¢licas dadas desde las grandes ciudades, y subrayar el peligro de perder para siempre un conocimiento hasta ahora transmitido de generaci¢n en generaci¢n.;femenino;ensayo rural, feminismo, Espa§a contempor†nea, memoria familiar, condiciones laborales rurales;Europa, Espa§a - Andaluc°a y otras regiones rurales;No Ficci¢n;Feminismo/LGTBIQ+, Biogr†fico/Memorias, Viajes/Naturaleza, Social/Pol°tico
228C;Picnic en Hanging Rock;Lindsay, Joan;Impedimenta;2010;Adulto;Castellano;307;Febrero de 1900. Un grupo de alumnas del selecto colegio Appleyard para se§oritas se dispone a celebrar un picnic el d°a de San Valent°n. Lo que empieza siendo una inocente comida campestre se torna en tragedia cuando tres ni§as y una profesora desaparecen misteriosamente entre los recovecos de Hanging Rock, un imponente conjunto de rocas rodeado de la salvaje y asfixiante vegetaci¢n australiana. La £nica chica que logra regresar, presa de la histeria, no recuerda nada de lo sucedido. Considerada una de las m†s desazonantes novelas de culto de la literatura anglosajona, Picnic en Hanging Rockˇdio lugar a una aclamad°sima pel°cula de Peter Weir, que contribuy¢ a incrementar el Çxito de una obra ya m°tica. Jam†s se revel¢ si los hechos narrados fueron reales o no, y ese ambiguo e intrigante juego alent¢ la aparici¢n de una legi¢n de seguidores que afirmaban conocer lo ocurrido aquel aciago d°a de San Valent°n en el sobrecogedor paisaje de Hanging Rock.;femenino;misterio, realismo g¢tico, Australia 1900, desapariciones, internado femenino;Ocean°a, Australia - Victoria;Narrativa;Novela Negra/Misterio, Terror/G¢tico
230C;El chico que se comi¢ el universo;Dalton, Trent;HarperCollins IbÇrica;2019;Adulto;Castellano;478;"Ambientado en un empobrecido suburbio de la ciudad de Brisbane (Australia), El chico que se comi¢ el universo es la inolvidable historia de Eli, un chico de doce a§os (y de su sabio y mudo hermano mayor August) que est† intentando averiguar quÇ significa ser un buen hombre a partir de las figuras paternas que tiene: el septuagenario Slim Halliday, el prisionero huido de la justicia m†s famoso de Australia y babysitter de los hermanos; su padrastro de gran coraz¢n y traficante de drogas Lyle; su padre, un alcoh¢lico abrumado por la ansiedad; y su madre a la que reverencia. TambiÇn es la historia de un chico joven que se enfrenta a un enemigo real y genuinamente terrible: Tytus Broz, un empresario local del que se rumorea reutiliza partes de los cad†veres de sus enemigos asesinados en su compa§°a de extremidades artificiales, y adem†s es un capo de la hero°na. Su vida es una divertida y desgarradora mezcla de lo cotidiano y lo vulgar, convertido en algo fascinante por el pragmatismo y la falta de cinismo de Eli.ˇConmovedora, hilarante y con una imaginaci¢n sin fin, esta novela es una carta de amor a la ternura masculina ambientada entre una serie de sangrientas amputaciones y chutes provenientes del Tri†ngulo de Oro.";masculino;novela de formaci¢n, realismo social, Brisbane, infancia marginal, crimen organizado;Ocean°a, Australia - Brisbane;Narrativa;Novela Negra/Misterio, Novela de Aprendizaje (Bildungsroman), Social/Pol°tico
232C;Aitaren etxea;Jaio, Karmele;Elkar;2019;Adulto;Euskera;213;"Blokeatuta dago Ismael, bere nobela berriarekin aurrera egin ezinik, argitaletxetik deika eta epea gogoratzen ari zaizkion arren. Gauzak okertu egingo dira, gainera, bere ama gaixotu egin dela-eta, aita zaharraz arduratu behar duenean.
Jasone da senarraren idazlanen lehenengo irakurle eta zuzentzailea; gaztetan idazle izana, gero utzi ziona, baina azken urtean, gauetan ordenagailuaren aurrean, sekretuan berriz sortzen hasi dena. Emazteak idatzitako horretan topatuko ote du Ismaelek azkenaldian aurkitu ezin duen ahotsa? Ala bere baitan arakatu beharko du, ez dakien sekretu hori deskubritzeko?
Maskulinitatea eraikitzeko eta transmititzeko moduez eta orokorrean generoak emakume eta gizonen bizitzetan duen eragin itzelaz ari da Karmele Jaioren eleberria. Baita familietan sortzen diren isiltasun esanguratsuez ere. Bere nobela anbiziotsu eta ausartena burutu du Jaiok, lurralde ezezagun batean barneratuz eta bertatik arrakastaz itzuliz.";femenino;novela contempor†nea, gÇnero y familia, literatura vasca, crisis creativa, roles de gÇnero;Local;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
231C;Deklaratzekorik ez;Sarasola, Be§at;Susa;2019;Adulto;Euskera;302;"Puskatu ezin duen iraganaren zamarekin bizi da Be§at Sarasolaren lehenengo nobelako protagonista. Ez baita erraza iragana ahaztu nahi baina utzi ezin duenaren bizimodua. Militante politiko inplikatua izana gaztetan, inplikazio horren kontrakarrean bizi nahi du orain, 90etako mundu gatazkatsu harekiko destaina azalduz.
Udal liburutegian lan egiten du, lagun arteko giroa gordetzen du azaletik bada ere, gaitzak erasandako aitaren zaintzaz arduratu behar du, harreman afektibo korapilatuak ditu ?bere bikoteak Madrilen egingo duen masterrak distantzia fisikoa dakarkio bestela ere arrakalatua dagoen harremanari?, eta gutxienik espero duenean atzera bere iraganera ainguratuko duen elementu apurtzailea izango da Poliziaren agerpena.
Ertz oso garratzeko protagonista dakarkigu Sarasolak Deklaratzekorik ez eleberrian, bere buruarekin eta inguruarekin bakean bizitzea lortzen ez duen pertsonaiaren bitartez egungo gizartearen erretratu bat eskainiz.";masculino;narrativa vasca, memoria hist¢rica, conflicto pol°tico, relaciones familiares, introspecci¢n;Local;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico, Conflictos BÇlicos/Historia
226C;Sofia Petrovna;Txukovskaia, Lidia;Katakrak;2019;Adulto;Euskera;152;"Sofia Petrovnak ordu arte inoiz ez zuen ikusi Nataxa hain asaldaturik. Berak ere ikaratan zituen eskuak, eta ez zuen bere kartera aurkitzerik lortzen. Lanean idatzi zuten telegrama, bazkaltzeko pausaldian, eta lanetik irten ondoren bidali zuten. Denek eman zizkioten zorionak Sofia Petrovnari; lanean Erna Semenovnak berak ere zorionak eman zizkion, horrelako seme bat zuelako, eta etxean, erizainak ere bai. Iluntzean, nekaturik eta pozik oheratzerakoan, lehendabiziko aldiz pentsatu zuen Sofia Petrovnak Nataxa beharbada Koliaz maiteminduta zegoela. Nola ez zen, baina, lehenago ohartu! Neska zintzoa, ongi hazia, langilea zen; oso itsusia, ordea, eta Kolia baino zaharxeagoa. Lo hartu bitartean, Koliaz maiteminduko zen eta haren emaztea bihurtuko zen neska imajinatzen ahalegindu zen Sofia Petrovna: liraina, mardula, musu-gorria, begi-argia eta ile-horia, ingeles postal batekoaren antz handikoa, baina Nazioarteko Gazteria Komunistako intsignia bularrean zuela.Ø Lidia Txukovskaia";femenino;Represi¢n estalinista, novela hist¢rica, Uni¢n SoviÇtica, disidencia, purgas pol°ticas.;Europa, Rusia - Leningrado;Narrativa;Novela Hist¢rica, Social/Pol°tico
225C;Adivina cu†nto te quiero;McBratney, Sam;Kokinos;2018;Infantil - 6 a§os;Castellano;32;A veces, cuando queremos a alguien mucho, mucho, intentamos encontrar el modo de describir el tama§o de nuestros sentimientos. Pero como nos muestra esta maravillosa historia, el amor no es algo f†cil de medir.;masculino;literatura infantil, †lbum ilustrado, relaciones afectivas, comunicaci¢n emocional;Europa, Reino Unido - Irlanda del Norte;Infantil;µlbum Ilustrado, Gesti¢n Emocional/Valores
223C;Mandelaren Afrika;Olasagarre, Juanjo;Susa;1998;Adulto;Euskera;137;"Orotara 1.219.080 kilometro koadro. Bederatzi probintzia autonomotan banatua: Western Cape (hiri nagusia: Cape Town); Northern Cape (Kimberley, Upington); Transkei (Port Elizabeth, East London, Umtata); Kwazulu Natal (Durban, Vryheid); Orange Free State (Bloemfontein); North-West (Mmabatho); Gauteng (Johannesburg, Pretoria); Eastern Transvaal eta Northern Transvaal (Pietersburg). Hegoafrika mosaiko ikaragarria da!";masculino;Sud†frica, geograf°a pol°tica, posapartheid, ensayo, literatura vasca.;µfrica, Sud†frica;No Ficci¢n;Educaci¢n/Divulgaci¢n
224C;El £ltimo patriarca;El Hachmi, Najat;Booket;2016;Adulto;Castellano;341;La historia de una joven marroqu° que lucha por su libertad. El £ltimo patriarca es la historia de una rebeli¢n personal contra un orden establecido desde hace miles de a§os. TambiÇn es una mirada l£cida sobre las v°ctimas y los verdugos. Mimoun y su hija nacen para cumplir el papel que el patriarca les ha asignado pero unos cambios en las circunstancias que los envuelven ser†n decisivos para propiciar el giro del orden de las cosas. Esta es una historia familiar, una historia donde las contradicciones internas de los personajes afloran para marcar unas relaciones hechas de desencuentros. Una historia definida por la ruptura que supone la separaci¢n.;femenino;narrativa migratoria, conflicto generacional, identidad cultural, patriarcado, relaciones familiares;Europa, Espa§a - Catalu§a;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo, Feminismo/LGTBIQ+
214C;La mujer de verde;Indridason, Arnaldur;RBA Libros;2015;Adulto;Castellano;321;"Unos obreros de la construcci¢n descubren un esqueleto humano mientras trabajan en una urbanizaci¢n de Reykiavik. A§os antes, esa parte de la ciudad era todo colinas, y Erlendur y su equipo esperan que se trate de un caso t°pico de desaparici¢n; quiz† alguien una vez se perdi¢ en la nieve y ha permanecido enterrado durante dÇcadas. Pero las colinas tienen m†s de una tr†gica historia que contar: relaciones fallidas y angustias, la ira, la violencia domÇstica y el miedo, la lealtad familiar y la vergÅenza de la familia. Pocas personas quedan a£n con vida que puedan contar la historia, y los secretos llevados a la tumba no pueden permanecer ocultos para siempre. Mientras Erlendur comienza a desenterrar secretos casi olvidados, tambiÇn deber† salvar a su hija de la autodestrucci¢n.
La mujer de verde es una de las novelas negras m†s premiadas y elogiadas de los £ltimos a§os en Europa y Estados Unidos, entre ellos con el prestigioso Golden Dagger brit†nico.";masculino;novela negra, Islandia, investigaci¢n policial, violencia domÇstica, memoria hist¢rica;Europa, Islandia - Reikiavik;Narrativa;Novela Negra/Misterio, Social/Pol°tico, Psicol¢gico/÷ntimo
215C;QuÇdate conmigo;AdÇb†yï, Ayïb†mi;Gatopardo;2018;Adulto;Castellano;331;Yejide espera un milagro, un hijo. Es lo £nico que quiere su marido, lo £nico que quiere su suegra, y ella lo ha probado todo: duros peregrinajes, consultas mÇdicas, plegarias a Dios. Pero cuando sus familiares se empe§an en buscar una nueva esposa, cruzan el l°mite de lo que Yejide es capaz de soportar. Y se ver† abocada a los celos, la traici¢n y la desesperaci¢n. Con el tel¢n de fondo de las revueltas sociales y pol°ticas de los a§os ochenta en Nigeria, QuÇdate conmigo se desarrolla y resuena con las voces, los colores, las alegr°as y los miedos de su entorno. Ayïb†mi AdÇb†yï escribe una historia demoledora sobre la fragilidad del amor conyugal, la destrucci¢n de la familia, la desdicha del dolor y los v°nculos que devoran la maternidad. Es una novela sobre nuestros intentos desesperados de salvar del desenga§o a nosotros mismos y a quienes amamos.;femenino;narrativa nigeriana, maternidad, dÇcada de 1980, conflicto familiar, presi¢n social;µfrica, Nigeria;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo
